,fi,en,,,NOTES – use \n for newline,max length
credits_music,Musiikkiesityksistä alkaen luola ja Niilo Takalainen,With music by From Grotto and Niilo Takalainen,,,,
credits_sounddesign,Äänisuunnittelu Niilo Takalainen,Sound design by Niilo Takalainen,,,,
credits_fmod,Noita käyttää FMOD Studion Firelight Technologies Pty Ltd,Noita uses FMOD Studio by Firelight Technologies Pty Ltd,,,,
credits_copyright,Noita (c) Nolla Games Oy 2019,Noita (c) Nolla Games Oy 2019,,,,
progress_perks,Edut,Perks,,,,
progress_actions,loitsuja,Spells,,,,
progress_secrets,Secrets,Secrets,,,,
progress_enemies,Viholliset,Enemies,,,,
progress_unlocked,poistoista,Unlocks,,,,
progress_completed,$ $0 $1 salainen (tta),$0 $1 secret(s) found,,,,
progress_kills,Tappaa: $0,Kills: $0,,,,
progress_unknown,???,???,,,,
progress_ending0,Selville salaisuuden alla -,Discovered the secret below -,,,,
progress_ending1,Keksinyt edellä -,Discovered the secret above -,,,,
progress_ending01,Löysi salaisuuksia ylä- ja alapuolella -,Discovered the secrets above and below -,,,,
status_wet,Märkä,Wet,,,,
statusdesc_wet,Märkiä vaatteita suojella sinua tulelta.,Wet clothes protect you from fire.,,,,
status_oiled,öljytty,Oiled,,,,
statusdesc_oiled,Öljy tekee sinusta liukkaita enemmän syttyvää.,Oil makes you slippery and more flammable.,,,,
status_bloody,Verinen,Bloody,,,,
statusdesc_bloody,Verinen vaatteita suojaa sinua tuleen. \nSinun aistia lisääntynyt todennäköisyys saavuttaa kriittisiä osumia.,Bloody clothes protect you from fire.\nYou sense an increased chance of attaining critical hits.,,,,
status_slimy,Limainen,Slimy,,,,
statusdesc_slimy,Limainen vaatteita suojaa sinua tuleen. \n- lima tekee liikkumisen vaikeaksi.,Slimy clothes protect you from fire.\nThe mucus makes moving around difficult.,,,,
status_radioactive,myrkyllinen,Toxic,,,,
statusdesc_radioactive,Myrkyllistä lietettä vaatteet tekee terveydelle hajoavat hitaasti. \nWet vaatteita suojaamaan sinua tuleen. \nVoi pestä pois nesteitä.,Toxic sludge in your clothes makes your health degrade slowly.\nWet clothes protect you from fire.\nCan be washed off by liquids.,,,,
status_alcoholic,alkoholisti,Alcoholic,,,,
statusdesc_alcoholic,Raskas tuoksu viinan huokuu vaatteesi. \nAiming häiriintyy. \nja alkoholi on syttyvää!,Heavy scent of booze oozes of your clothes.\nAiming is disturbed.\nAnd alcohol is flammable!,,,,
status_poisoned,Myrkytetty,Poisoned,,,,
statusdesc_poisoned,Myrkytys hitaasti heikentää terveyttä.,A poisoning slowly degrades your health.,,,,
status_teleportation,teleportaatio,Teleportation,,,,
statusdesc_teleportation,Teleport kirous vaikuttaa sinuun.,A teleport curse affects you.,,,,
status_hp_regeneration,uudistuminen,Regeneration,,,,
statusdesc_hp_regeneration,Terveys uudistaminen oikeinkirjoituksen vaikuttaa sinuun.,A health regeneration spell affects you.,,,,
status_polymorph,Polymorph,Polymorph,,,,
statusdesc_polymorph,Olet lammas.,You're a sheep.,,,,
status_polymorph_random,Chaos polymorfi,Chaos polymorph,,,,
statusdesc_polymorph_random,Polymorfi kirous vaikuttaa sinuun.,A polymorph curse affects you.,,,,
status_berserk,sekaisin,Berserk,,,,
statusdesc_berserk,Sekaisin kirous vaikuttaa sinuun.,A berserk curse affects you.,,,,
status_charm,Charmed,Charmed,,,,
statusdesc_charm,Hurmata vaikuttaa sinuun.,A charm affects you.,,,,
status_invisibility,Näkymätön,Invisible,,,,
statusdesc_invisibility,Maaginen nestettä vaatteille saa sinut näkymättömäksi. \n- loitsu häiritsee värjättyä tai märillä vaatteilla.,The magical liquid on your clothes makes you invisible.\nThe spell is disturbed by stained or wet clothes.,,,,
status_on_fire,Tulessa,On fire,,,,
statusdesc_on_fire,Olet tulessa. Löytää vettä!,You're on fire. Find some water!,,,,
boss_limbs_limb_attacker,tuurnanpidikettä,Spider leg,,,,
biome_boss_arena,Laboratorio,The Laboratory,,,,
biome_boss_victoryroom,Työ,The Work,,,,
biome_coalmine,kaivokset,mines,,,,
biome_coalmine_alt,romahtanut kaivokset,collapsed mines,,,,
biome_crypt,Temple of Art,Temple of the Art,,,,
biome_desert,aavikko,Desert,,,,
biome_dragoncave,Dragoncave,Dragoncave,,,,
biome_ending_placeholder,Master Symbol Crypt,Master Symbol Crypt,,,,
biome_excavationsite,hiili Kiviä,Coal Pits,,,,
biome_fungicave,sieni luoliin,Fungal Caverns,,,,
biome_gold,Kulta,Gold,,,,
biome_lake,Järvi,Lake,,,,
biome_lava,tulivuoren järven,Volcanic Lake,,,,
biome_lavacave,tulivuoren Cave,Volcanic Cave,,,,
biome_magic_gate,Rauhoitusalue,Sanctuary,,,,
biome_null,tuntematon,unknown,,,,
biome_pyramid,Pyramidi,Pyramid,,,,
biome_rainforest,maanalainen Jungle,Underground Jungle,,,,
biome_sandcave,Sandcave,Sandcave,,,,
biome_secret_entrance,salaperäinen Gate,Mysterious Gate,,,,
biome_shop_room,Secret Shop,Secret Shop,,,,
biome_snowcastle,Hiisi Base,Hiisi Base,,,,
biome_snowcave,luminen syvyydet,Snowy Depths,,,,
biome_town_under,kiemurteleva kohdat,twisty passages,,,,
biome_vault,Holvi,The Vault,,,,
biome_wandcave,maaginen temppeli,magical temple,,,,
biome_water,vesi,water,,,,
biome_winter,luminen joutomaata,snowy wasteland,,,,
biome_holymountain,Holy Mountain,Holy Mountain,,,,
biome_east,East $0,East $0,,,,
biome_west,West $0,West $0,,,,
animal_player,minä,Minä,,,,
animal_boss_centipede_minion,Kolmisilmän apuri,Kolmisilmän apuri,,,,
animal_boss_limbs,Kolmisilmän koipi,Kolmisilmän koipi,,,,
animal_boss_dragon_endcrystal,Mato,Mato,,,,
animal_lukki,Hämähäkki,Hämähäkki,,,,
animal_lukki_creepy,Kasvoton Hämähäkki,Kasvoton Hämähäkki,,,,
animal_lukki_creepy_long,Kasvoton Lukki,Kasvoton Lukki,,,,
animal_lukki_longleg,Lukki,Lukki,,,,
animal_acidshooter,Happonuljaska,Happonuljaska,,,This is a reference to the Jodorowsky film 'Holy Mountain',
animal_alchemist,Alkemisti,Alkemisti,,,,
animal_ant,Murkku,Murkku,,,,
animal_assassin,Salamurhaajarobotti,Salamurhaajarobotti,,,doesn't need to be translated,
animal_barfer,Turvonnu velho,Turvonnu velho,,,Animal names (animal_) are in finnish. Should not be translated,
animal_bat,Lepakko,Lepakko,,,doesn't need to be translated,
animal_bigbat,Suurlepakko,Suurlepakko,,,doesn't need to be translated,
animal_bigfirebug,Suurtulikärpänen,Suurtulikärpänen,,,doesn't need to be translated,
animal_bigzombie,Mätänevä ruumis,Mätänevä ruumis,,,doesn't need to be translated,
animal_bigzombiehead,Mätänevä pää,Mätänevä pää,,,doesn't need to be translated,
animal_bigzombietorso,Mätänevä kroppa,Mätänevä kroppa,,,doesn't need to be translated,
animal_blob,Kiukkumöykky,Kiukkumöykky,,,doesn't need to be translated,
animal_bloodcrystal_physics,Verikristalli,Verikristalli,,,doesn't need to be translated,
animal_bloom,Puska,Puska,,,doesn't need to be translated,
animal_boss_dragon,Suomuhauki,Suomuhauki,,,doesn't need to be translated,
animal_chest_mimic,Matkija,Matkija,,,doesn't need to be translated,
animal_crystal_physics,kirottu Kristalli,Kirottu kristalli,,,doesn't need to be translated,
animal_darkghost,Haamu,Haamu,,,doesn't need to be translated,
animal_deer,Nelikoipi,Nelikoipi,,,doesn't need to be translated,
animal_drone,Lennokki,Lennokki,,,doesn't need to be translated,
animal_drone_physics,Lennokki,Lennokki,,,doesn't need to be translated,
animal_duck,Ankka,Ankka,,,doesn't need to be translated,
animal_eel,Nahkiainen,Nahkiainen,,,doesn't need to be translated,
animal_elk,poro,Poro,,,doesn't need to be translated,
animal_firebug,Pikkutulikärpänen,Pikkutulikärpänen,,,doesn't need to be translated,
animal_firemage,Eldari,Eldari,,,doesn't need to be translated,
animal_firemage_weak,Stendari,Stendari,,,doesn't need to be translated,
animal_fireskull,Liekkiö,Liekkiö,,,doesn't need to be translated,
animal_fish,Eväkäs,Eväkäs,,,doesn't need to be translated,
animal_fish_large,Suureväkäs,Suureväkäs,,,doesn't need to be translated,
animal_flamer,Liekkari,Liekkari,,,doesn't need to be translated,
animal_fly,Amppari,Amppari,,,doesn't need to be translated,
animal_frog,Konna,Konna,,,doesn't need to be translated,
animal_fungus,Laahustussieni,Laahustussieni,,,doesn't need to be translated,
animal_gazer,Helvetinkatse,Helvetinkatse,,,doesn't need to be translated,
animal_ghost,houre,Houre,,,doesn't need to be translated,
animal_ghoul,Sylkyri,Sylkyri,,,doesn't need to be translated,
animal_giant,Hiidenkivi,Hiidenkivi,,,doesn't need to be translated,
animal_giantshooter,Äitinuljaska,Äitinuljaska,,,doesn't need to be translated,
animal_healerdrone_physics,Korjauslennokki,Korjauslennokki,,,doesn't need to be translated,
animal_icer,Jäähdytyslaite,Jäähdytyslaite,,,doesn't need to be translated,
animal_iceskull,Jäätiö,Jäätiö,,,doesn't need to be translated,
animal_lasershooter,Mulkkio,Mulkkio,,,doesn't need to be translated,
animal_longleg,Hämiksen,Hämis,,,doesn't need to be translated,
animal_slimeshooter,Limanuljaska,Limanuljaska,,,doesn't need to be translated,
animal_slimeshooter_boss_limbs,Äitilimanuljaska,Äitilimanuljaska,,,doesn't need to be translated,
animal_maggot,toukka,Toukka,,,doesn't need to be translated,
animal_mimic_physics,Matkija,Matkija,,,doesn't need to be translated,
animal_miner,Tappurahiisi,Tappurahiisi,,,doesn't need to be translated,
animal_miner_weak,Tappurahiisiläinen,Tappurahiisiläinen,,,doesn't need to be translated,
animal_miner_fire,Tulihiisi,Tulihiisi,,,doesn't need to be translated,
animal_miner_santa,Jouluhiisi,Jouluhiisi,,,doesn't need to be translated,
animal_mine_scavenger,Miina,Miina,,,doesn't need to be translated,
animal_miniblob,Möykky,Möykky,,,doesn't need to be translated,
animal_missilecrab,Heinäsirkka,Heinäsirkka,,,doesn't need to be translated,
animal_pebble,Lohkare,Lohkare,,,doesn't need to be translated,
animal_pebble_player,Toveri lohkare,Toveri lohkare,,,doesn't need to be translated,
animal_phantom_a,Spiraalikalma,Spiraalikalma,,,doesn't need to be translated,
animal_phantom_b,Kiukkukalma,Kiukkukalma,,,doesn't need to be translated,
animal_playerghost,kummitus,Kummitus,,,doesn't need to be translated,
animal_rat,Rotta,Rotta,,,doesn't need to be translated,
animal_roboguard,Robottikyttä,Robottikyttä,,,doesn't need to be translated,
animal_scavenger_clusterbomb,Isohiisi,Isohiisi,,,doesn't need to be translated,
animal_scavenger_grenade,Kranuhiisi,Kranuhiisi,,,doesn't need to be translated,
animal_scavenger_heal,Parantajahiisi,Parantajahiisi,,,doesn't need to be translated,
animal_scavenger_leader,Toimari,Toimari,,,doesn't need to be translated,
animal_scavenger_mine,Miinankylväjä,Miinankylväjä,,,doesn't need to be translated,
animal_scavenger_poison,Myrkkyhiisi,Myrkkyhiisi,,,doesn't need to be translated,
animal_scavenger_smg,Rynkkyhiisi,Rynkkyhiisi,,,doesn't need to be translated,
animal_scorpion,skorpioni,Skorpioni,,,doesn't need to be translated,
animal_sheep,lammas,Lammas,,,doesn't need to be translated,
animal_sheep_bat,Lentolammas,Lentolammas,,,doesn't need to be translated,
animal_sheep_fly,Suhiseva lammas,Suhiseva lammas,,,doesn't need to be translated,
animal_shooterflower,Plasmakukka,Plasmakukka,,,doesn't need to be translated,
animal_shotgunner_weak,heikko haulikkohiisi,Heikko haulikkohiisi,,,doesn't need to be translated,
animal_shotgunner,Haulikkohiisi,Haulikkohiisi,,,doesn't need to be translated,
animal_skullfly,Kallokärpänen,Kallokärpänen,,,doesn't need to be translated,
animal_skullrat,Kallorotta,Kallorotta,,,doesn't need to be translated,
animal_sniper,Snipuhiisi,Snipuhiisi,,,doesn't need to be translated,
animal_spitmonster,helvetin sylkijä,Helvetin sylkijä,,,doesn't need to be translated,
animal_statue_physics,patsas,Patsas,,,doesn't need to be translated,
animal_tank,KK-Tankki,KK-Tankki,,,doesn't need to be translated,
animal_tank_rocket,IT-Tankki,IT-Tankki,,,doesn't need to be translated,
animal_tentacler,Turso,Turso,,,doesn't need to be translated,
animal_tentacler_small,Pikkuturso,Pikkuturso,,,doesn't need to be translated,
animal_thundermage,Ukko,Ukko,,,doesn't need to be translated,
animal_turret,Torjuntalaite,Torjuntalaite,,,doesn't need to be translated,
animal_wand_ghost,Taikasauva,Taikasauva,,,doesn't need to be translated,
animal_wizard_dark,Sokaisunmestari,Sokaisunmestari,,,doesn't need to be translated,
animal_wizard_poly,Muodonmuutosmestari,Muodonmuutosmestari,,,doesn't need to be translated,
animal_wizard_tele,Siirtäjämestari,Siirtäjämestari,,,doesn't need to be translated,
animal_wolf,Susi,Susi,,,doesn't need to be translated,
animal_worm,Mato,Mato,,,doesn't need to be translated,
animal_worm_big,Jättimato,Jättimato,,,doesn't need to be translated,
animal_worm_end,Helvetinmato,Helvetinmato,,,doesn't need to be translated,
animal_worm_skull,Kalmamato,Kalmamato,,,doesn't need to be translated,
animal_worm_tiny,Pikkumato,Pikkumato,,,doesn't need to be translated,
animal_zombie_weak,Heikkohurtta,Heikkohurtta,,,doesn't need to be translated,
animal_zombie,Hurtta,Hurtta,,,doesn't need to be translated,
action_burst_2,kaksinkertainen loitsu,Double spell,,,doesn't need to be translated,
actiondesc_burst_2,Samalla heittää 2 loitsuja,Simultaneously casts 2 spells,,,doesn't need to be translated,
action_burst_3,triple loitsu,Triple spell,,,doesn't need to be translated,
actiondesc_burst_3,Samalla heittää 3 loitsuja,Simultaneously casts 3 spells,,,doesn't need to be translated,
action_burst_4,Neljän hengen oikeinkirjoituksen,Quadruple spell,,,doesn't need to be translated,
actiondesc_burst_4,Samalla heittää 4 loitsuja,Simultaneously casts 4 spells,,,doesn't need to be translated,
action_scatter_2,Kaksinkertainen hajottaa loitsu,Double scatter spell,,,doesn't need to be translated,
actiondesc_scatter_2,"Samanaikaisesti heittää 2 jaksoja, joilla on alhainen tarkkuus",Simultaneously casts 2 spells with low accuracy,,,doesn't need to be translated,
action_scatter_3,Triple hajottaa loitsu,Triple scatter spell,,,doesn't need to be translated,
actiondesc_scatter_3,"Samanaikaisesti heittää 3 jaksoja, joilla on alhainen tarkkuus",Simultaneously casts 3 spells with low accuracy,,,doesn't need to be translated,
action_scatter_4,Neljän hajottaa loitsu,Quadruple scatter spell,,,doesn't need to be translated,
actiondesc_scatter_4,"Samanaikaisesti heittää 4 jaksoja, joilla on alhainen tarkkuus",Simultaneously casts 4 spells with low accuracy,,,doesn't need to be translated,
action_i_shape,Muodostuminen - selän taakse,Formation - behind your back,,,doesn't need to be translated,
actiondesc_i_shape,Heittää kaksi loitsuja: yksi edellä ja yksi takana pyörän,Casts two spells: one ahead of and one behind the caster,,,,
action_y_shape,Formation - haarautuu,Formation - bifurcated,,,,
actiondesc_y_shape,Heittää 2 kausia kaksihaarainen kuvion,Casts 2 spells in a bifurcated pattern,,,,
action_t_shape,Muodostus - edellä ja jäljempänä,Formation - above and below,,,,
actiondesc_t_shape,"Heittää 3 jaksoja - eteenpäin, yläpuolella ja alapuolella pyörän","Casts 3 spells - ahead, above and below the caster",,,,
action_w_shape,Formation - kolmihaaraisille,Formation - trifurcated,,,,
actiondesc_w_shape,Heittää 3 kausia kolmihaaraisesta kuvio,Casts 3 spells in a trifurcated pattern,,,,
action_circle_shape,Formation - hexagon,Formation - hexagon,,,,
actiondesc_circle_shape,Heittää 6 kausia kuusikulmainen kuvio,Casts 6 spells in a hexagonal pattern,,,,
action_pentagram_shape,Formation - Pentagon,Formation - pentagon,,,,
actiondesc_pentagram_shape,Heittää 5 kausia viisikulmainen kuvio,Casts 5 spells in a pentagonal pattern,,,,
action_spread_reduce,leviämisen rajoittamiseksi,Reduce spread,,,,
actiondesc_spread_reduce,Vähentää leviämisen loitsu,Reduces the spread of a spell,,,,
action_recharge,Vähennä latausaika,Reduce recharge time,,,,
actiondesc_recharge,Vähentää välinen aika spellcasts,Reduces the time between spellcasts,,,,
action_gravity,painovoima,Gravity,,,,
actiondesc_gravity,Lisää vaikutusta painovoiman on on ammuksen,Increases the effect gravity has on a projectile,,,,
action_gravity_anti,Anti-painovoima,Anti-gravity,,,,
actiondesc_gravity_anti,Sovelletaan nostovoima ammuksen,Applies a lifting force to a projectile,,,,
action_penetrate_walls,läpäistä seiniä,Penetrate walls,,,,
actiondesc_penetrate_walls,Antaa ammuksen enemmän levinneisyys valtaa,Gives a projectile more penetration power,,,,
action_sinewave,slithering polku,Slithering path,,,,
actiondesc_sinewave,Tekee ammuksen liikkua kipeämmin slithering tavalla kuin käärme,"Makes a projectile move rapidly in a slithering manner, like a snake",,,,
action_bounce,Pomppia,Bounce,,,,
actiondesc_bounce,Tekee ammus pomppia vaikutuksista,Makes a projectile bounce on impact,,,,
action_homing,itseohjautuva,Homing,,,,
action_homing_shooter,Bumerangi,Boomerang,,,,
actiondesc_homing_shooter,"Antaa ammus polku, joka kaartaa kohti sinua",Gives a projectile a path that curves towards you,,,,
action_damage,vahinko Plus,Damage Plus,,,,
actiondesc_damage,Lisää vahinkoa tapahtuu ammuksen,Increases the damage done by a projectile,,,,
action_critical_hit,kriittiset Plus,Critical Plus,,,,
actiondesc_critical_hit,Antaa ammuksen + 15% mahdollisuus kriittisen osuman,Gives a projectile +15% chance of a critical hit,,,,
